    |    2    3    5    7   11   13   17   19   23   29 
----+--------------------------------------------------
  2 |    4    6   10   14   22   26   34   38   46   58
  3 |         9   15   21   33   39   51   57   69   87
  5 |             25   35   55   65   85   95  115  145
  7 |                  49   77   91  119  133  161  203
 11 |                      121  143  187  209  253  319
 13 |                           169  221  247  299  377
 17 |                                289  323  391  493
 19 |                                     361  437  551
 23 |                                          529  667
 29 |                                               841
